BaseP,EXP.cost,x,y,row,col,field,EXP.rate.ssopt,NR.ssopt,NR.min,NR.opp,NR.fs,yld.opt,yld.min,yld.fs,pro.opt,pro.min,pro.fs,NR.ffopt,yld.ffopt,pro.ffopt,EXP.rate.ffopt,NUE,cost.NUE,NR.act,yld.act,pro.act,sim
7.24,0.4,639515.9,5100660,10,53,sec35middle,73,157.485064889348,118.011684938676,49.30933664,145.705551480278,50.40639,42.34637,51.62508,13.67739,10.658279,15.08259,157.485064889348,50.40639,13.67739,73,0.2199056,6.42124352,147.57247373287,51.8495171457036,15.0666424626067,2021EconCondition
7.24,0.4,639525.9,5100660,10,54,sec35middle,73,160.290426692848,116.508994220032,48.01531808,145.777771584432,50.78817,42.10989,51.65218,13.71435,10.687079,15.12334,160.290426692848,50.78817,13.71435,73,0.2193766,6.40579672,144.474086803414,51.5045163771099,15.1392105823575,2021EconCondition
7.24,0.4,639535.9,5100660,10,55,sec35middle,73,179.102326217277,119.752201898663,50.56018112,165.813643848744,53.35761,42.57496,54.39716,13.70217,10.67759,15.10991,179.102326217277,53.35761,13.70217,73,0.2183905,6.3770026,166.216770843764,54.4387519307619,15.1030863563135,2021EconCondition
7.24,0.4,639545.9,5100660,10,56,sec35middle,73,198.16594613651,128.950727354053,57.33714368,183.791895357751,55.9591,43.81344,56.9102,13.78616,10.743041,15.20253,198.16594613651,55.9591,13.78616,73,0.2183029,6.37444468,182.103690836546,56.7134787880119,15.2198143028554,2021EconCondition
7.24,0.4,639555.9,5100660,10,57,sec35middle,73,239.004727556634,141.260802342648,66.59642432,228.098149059073,61.53617,45.50556,63.03368,13.84356,10.787769,15.26583,239.004727556634,61.53617,13.84356,73,0.2210048,6.45334016,231.470945918109,63.4907127828266,15.2627171494525,2021EconCondition
7.24,0.4,639565.9,5100660,10,58,sec35middle,73,215.654295595206,132.866664831093,60.06980576,203.123581810653,58.34772,44.31283,59.61168,13.86225,10.802332,15.28644,215.654295595206,58.34772,13.86225,73,0.22027,6.431884,206.240849438522,60.0338645333058,15.2833813645743,2021EconCondition
7.24,0.4,639575.9,5100660,10,59,sec35middle,73,188.191950790577,118.261866854321,48.80673344,175.16169021895,54.5976,42.25452,55.77189,13.87097,10.809124,15.29605,188.191950790577,54.5976,13.87097,73,0.2209366,6.45134872,179.4471911526,56.3279439901495,15.2801217234849,2021EconCondition
7.24,0.4,639585.9,5100660,10,60,sec35middle,73,122.884196858931,93.4222788771968,29.74989152,108.31596591672,45.67885,38.77191,46.57295,13.85702,10.798255,15.28067,122.884196858931,45.67885,13.85702,73,0.2208614,6.44915288,106.194053394283,46.2570174386167,15.2685022480812,2021EconCondition
7.24,0.4,639595.9,5100660,10,61,sec35middle,73,113.461939229977,90.5036366594019,27.54615296,94.706609344195,44.39199,38.36918,44.69585,13.84411,10.7882,15.26644,113.461939229977,44.39199,13.84411,73,0.2212822,6.46144024,93.5004743278281,44.5056437530624,15.2540503169564,2021EconCondition
7.24,0.4,639605.9,5100660,10,62,sec35middle,41,100.365308060671,86.4059384095398,23.98081664,74.8074617392858,41.08395,37.71762,42.02015,12.47867,10.892391,15.41388,92.6385182941372,41.55187,13.97782,73,0.2692981,4.41648884,79.1375840328747,42.6531895514604,15.4327739939482,2021EconCondition
