"BaseP","EXP.cost","NR.ssopt","NR.min","NR.fs","ffopt.EXPrate","NR.ffopt","NR.act","NR.opp","median.ssopt.EXPrate","sim"
3.05, 0.277246364, 56.9361415946775, 30.5090773125221, 45.6029858036147, 73, 56.4944482942079, 40.4104533949777, 70.8006114, 73, 26
5.58, 0.639525511, 80.1671795545194, 52.8987365384315, 54.3991650278039, 73, 80.385076215821, 53.3601051786399, 92.91502555, 73, 27
3.71, 0.34, 8.81175361236123, -20.1909447178006, -4.98221942300313, 73, 8.36167320193741, -10.4337552381713, -6.37339514999999, 73, 28
3.05, 0.277246364, 56.9361415946775, 30.5090773125221, 45.6029858036147, 73, 56.4944482942079, 40.4104533949777, 70.8006114, 73, 29
5.48, 0.6305602, 75.6380695850306, 48.7275389193591, 50.1779963989785, 73, 75.8355695331036, 49.1999820695536, 86.2910845, 73, 30
4.53, 0.34, 32.9670307705123, -5.47676163470402, 19.5899359889544, 73, 32.3121636532049, 10.9856428555673, -18.021457375, 75, 31
6.43, 0.945716673, 152.479512313308, 136.486050027541, 111.20572577218, 0, 136.486050027541, 116.436118878084, 309.176201, 40, 32
2.9, 0.272363688, 46.5443058928822, 21.3523217669014, 35.3602555684629, 73, 46.1134438820973, 30.6516931369897, 71.3052475, 73, 33
4.53, 0.28, 41.6877733674396, -1.62676163470402, 30.6399359889544, 73, 40.5421636532049, 19.5098675901268, -8.65150650000002, 75, 34
5.54, 0.53194178, 86.7268158795218, 51.2307963426918, 65.1803708295709, 73, 86.1570061931036, 60.2758934688362, 90.2163829, 73, 35
6.91, 0.590870676, 168.176310018205, 121.700734404048, 144.720729122215, 73, 167.341642734207, 136.234216696897, 125.84019295, 73, 36
5.66, 0.574045559, 147.776879507334, 114.245441792572, 124.535875317259, 73, 147.380000311821, 120.875040082811, 144.58641565, 73, 37
3.38, 0.38255385, 61.6464509742108, 39.3857298070517, 45.6503482141866, 73, 61.2972702344411, 43.7172037315774, 59.6920015, 73, 38
3.07, 0.265825704, 58.8180814106826, 31.3532242088261, 48.0290437680483, 73, 58.3641201742079, 42.3458117196697, 50.6834571, 73, 39
4.34, 0.472282609, 31.6376927291118, 5.27054815883882, 12.2139236033246, 73, 31.3100773962049, 9.85991018099099, 26.86164125, 73, 40
3.26, 0.388891019, 52.8212413442659, 32.3538014174872, 36.4604518734186, 73, 52.4913849135036, 35.3482808446935, 64.23594255, 73, 41
4.88, 0.57951266, 106.306038944989, 82.2751689011542, 82.7140297048656, 73, 106.450045201263, 82.168636588231, 85.4616085, 73, 42
6.83, 0.533042305, 212.124239959909, 162.207121692619, 191.203891061549, 73, 211.182429017207, 181.015717630315, 281.7265285, 74, 43
4.85, 0.519847913, 74.6764975573837, 46.1064055438641, 53.3877889993309, 73, 74.3380171822629, 50.8167883327323, 117.52701245, 73, 44
3.71, 0.34, 8.81175361236123, -20.1909447178006, -4.98221942300313, 73, 8.36167320193741, -10.4337552381713, -6.37339514999999, 73, 45
4.15, 0.428036815, 85.6532523077315, 58.0663961498015, 68.041181103994, 73, 85.1829412192082, 64.5400719783982, 56.7052475, 73, 46
5.78, 0.532998136, 127.566148620378, 89.4498124653025, 106.04787525447, 73, 126.892760784122, 100.142070209643, 193.1170525, 73, 47
3.15, 0.486246557, 33.7143362834881, 22.516715270115, 13.6892117634186, 73, 34.3202547915045, 15.8890516899499, 53.52865725, 49, 48
6.95, 0.685036005, 153.639286696107, 113.934771026274, 126.144734642215, 73, 153.162916117207, 121.720142976086, 211.15801685, 73, 49
2.5, 0.270100847, 25.8705144896524, 4.62048756273738, 14.5449822772686, 73, 25.5056882971361, 11.3946978993397, 55.1133916, 73, 50
4.55, 0.509347826, 39.7499072791724, 13.8485946915808, 18.8303309689544, 73, 39.4971887552049, 17.0704112854391, 36.18422495, 73, 51
4.53, 0.34, 32.9670307705123, -5.47676163470402, 19.5899359889544, 73, 32.3121636532049, 10.9856428555673, -18.021457375, 75, 52
5.78, 0.532998136, 127.566148620378, 89.4498124653025, 106.04787525447, 73, 126.892760784122, 100.142070209643, 193.1170525, 73, 53
2.9, 0.272363688, 46.5443058928822, 21.3523217669014, 35.3602555684629, 73, 46.1134438820973, 30.6516931369897, 71.3052475, 73, 54
5.38, 0.515505377, 79.6803321694695, 44.6967642663043, 58.7065061911987, 73, 79.0295058358541, 53.7634554516884, 79.66714345, 73, 55
